Block   SS_time         SS_swaps        SS_compares     IS_time         IS_swaps        IS_compares

1       0.000000        99              4950            0.000000        2465            2465    
2       0.000000        199             19900           0.000000        9247            9247    
3       0.000000        299             44850           0.000000        22440           22440   
4       0.001000        399             79800           0.000000        41416           41416   
5       0.000000        499             124750          0.000000        62599           62599   
6       0.001000        599             179700          0.003000        91400           91400   
7       0.000000        699             244650          0.003000        127002          127002  
8       0.004000        799             319600          0.004000        166554          166554  
9       0.002000        899             404550          0.000000        207724          207724  
10      0.002000        999             499500          0.000000        254306          254306  
11      0.009000        1099            604450          0.001000        304369          304369  
12      0.004000        1199            719400          0.001000        355401          355401
13      0.004000        1299            844350          0.000000        414038          414038
14      0.004000        1399            979300          0.003000        473576          473576
15      0.005000        1499            1124250         0.007000        549290          549290
16      0.001000        1599            1279200         0.013000        622114          622114
17      0.010000        1699            1444150         0.005000        708876          708876
18      0.012000        1799            1619100         0.006000        798631          798631
19      0.008000        1899            1804050         0.008000        897394          897394
20      0.007000        1999            1999000         0.011000        997848          997848
21      0.015000        2099            2203950         0.008000        1093614         1093614
22      0.013000        2199            2418900         0.006000        1197663         1197663
23      0.012000        2299            2643850         0.009000        1314829         1314829
24      0.021000        2399            2878800         0.012000        1432705         1432705
25      0.020000        2499            3123750         0.009000        1552766         1552766
26      0.017000        2599            3378700         0.010000        1674635         1674635
27      0.015000        2699            3643650         0.013000        1808427         1808427
28      0.017000        2799            3918600         0.011000        1953418         1953418
29      0.019000        2899            4203550         0.012000        2099071         2099071
30      0.019000        2999            4498500         0.014000        2243359         2243359
31      0.019000        3099            4803450         0.029000        2405909         2405909
32      0.030000        3199            5118400         0.013000        2563900         2563900
33      0.031000        3299            5443350         0.025000        2713414         2713414
34      0.030000        3399            5778300         0.023000        2887510         2887510
35      0.037000        3499            6123250         0.020000        3063069         3063069 
36      0.034000        3599            6478200         0.028000        3225033         3225033 
37      0.033000        3699            6843150         0.020000        3423958         3423958 
38      0.027000        3799            7218100         0.028000        3588511         3588511 
39      0.032000        3899            7603050         0.015000        3786779         3786779 
40      0.036000        3999            7998000         0.030000        3979450         3979450 
41      0.044000        4099            8402950         0.028000        4186683         4186683 
42      0.034000        4199            8817900         0.022000        4406848         4406848 
43      0.036000        4299            9242850         0.029000        4606725         4606725 
44      0.043000        4399            9677800         0.023000        4821470         4821470 
45      0.045000        4499            10122750        0.027000        5028971         5028971 
46      0.047000        4599            10577700        0.027000        5292001         5292001 
47      0.042000        4699            11042650        0.030000        5540187         5540187 
48      0.047000        4799            11517600        0.033000        5778856         5778856 
49      0.047000        4899            12002550        0.030000        6055339         6055339 
50      0.053000        4999            12497500        0.028000        6299818         6299818 
51      0.056000        5099            13002450        0.035000        6524469         6524469 
52      0.060000        5199            13517400        0.029000        6804884         6804884 
53      0.056000        5299            14042350        0.034000        7087650         7087650 
54      0.061000        5399            14577300        0.033000        7345577         7345577 
55      0.059000        5499            15122250        0.032000        7656360         7656360 
56      0.062000        5599            15677200        0.043000        7923047         7923047 
57      0.062000        5699            16242150        0.042000        8197809         8197809 
58      0.066000        5799            16817100        0.034000        8485479         8485479 
59      0.070000        5899            17402050        0.033000        8794633         8794633 
60      0.068000        5999            17997000        0.050000        9071570         9071570 
61      0.079000        6099            18601950        0.049000        9397511         9397511 
62      0.080000        6199            19216900        0.033000        9691385         9691385 
63      0.082000        6299            19841850        0.054000        10002328        10002328
64      0.088000        6399            20476800        0.057000        10324128        10324128
65      0.092000        6499            21121750        0.053000        10670843        10670843
66      0.092000        6599            21776700        0.055000        10972087        10972087
67      0.091000        6699            22441650        0.049000        11314135        11314135
68      0.086000        6799            23116600        0.068000        11639993        11639993
69      0.096000        6899            23801550        0.064000        11947767        11947767
70      0.096000        6999            24496500        0.063000        12308861        12308861
71      0.111000        7099            25201450        0.050000        12632223        12632223
72      0.109000        7199            25916400        0.057000        12956851        12956851
73      0.102000        7299            26641350        0.067000        13293163        13293163
74      0.115000        7399            27376300        0.066000        13655336        13655336
75      0.119000        7499            28121250        0.068000        14033279        14033279
76      0.111000        7599            28876200        0.079000        14406986        14406986
77      0.126000        7699            29641150        0.059000        14812514        14812514
78      0.125000        7799            30416100        0.080000        15187997        15187997
79      0.129000        7899            31201050        0.074000        15590772        15590772
80      0.133000        7999            31996000        0.075000        16047145        16047145
81      0.139000        8099            32800950        0.086000        16480325        16480325
82      0.140000        8199            33615900        0.081000        16908511        16908511
83      0.146000        8299            34440850        0.086000        17310909        17310909
84      0.142000        8399            35275800        0.092000        17731315        17731315
85      0.149000        8499            36120750        0.101000        18163561        18163561
86      0.163000        8599            36975700        0.190000        18571619        18571619
87      0.213000        8699            37840650        0.133000        19008025        19008025
88      0.250000        8799            38715600        0.150000        19474545        19474545
89      0.275000        8899            39600550        0.130000        19884000        19884000
90      0.181000        8999            40495500        0.102000        20370120        20370120
91      0.160000        9099            41400450        0.116000        20766745        20766745
92      0.187000        9199            42315400        0.115000        21219112        21219112
93      0.192000        9299            43240350        0.112000        21642312        21642312
94      0.186000        9399            44175300        0.114000        22078093        22078093
95      0.187000        9499            45120250        0.123000        22521781        22521781
96      0.187000        9599            46075200        0.117000        22981890        22981890
97      0.200000        9699            47040150        0.114000        23497647        23497647
98      0.200000        9799            48015100        0.112000        23958493        23958493
99      0.198000        9899            49000050        0.126000        24468479        24468479
100     0.189000        9999            49995000        0.140000        24969716        24969716
101     0.204000        10099           50999950        0.126000        25480144        25480144
102     0.212000        10199           52014900        0.126000        25985309        25985309
103     0.217000        10299           53039850        0.167000        26482140        26482140
104     0.218000        10399           54074800        0.130000        27066913        27066913
105     0.217000        10499           55119750        0.146000        27578931        27578931
106     0.230000        10599           56174700        0.127000        28152009        28152009
107     0.233000        10699           57239650        0.148000        28631904        28631904
108     0.240000        10799           58314600        0.148000        29163341        29163341
109     0.254000        10899           59399550        0.146000        29661965        29661965
110     0.241000        10999           60494500        0.158000        30173485        30173485
111     0.256000        11099           61599450        0.156000        30732105        30732105
112     0.266000        11199           62714400        0.167000        31282731        31282731
113     0.280000        11299           63839350        0.143000        31830952        31830952
114     0.271000        11399           64974300        0.171000        32472093        32472093
115     0.289000        11499           66119250        0.177000        33057026        33057026
116     0.271000        11599           67274200        0.167000        33643925        33643925
117     0.273000        11699           68439150        0.171000        34213704        34213704
118     0.273000        11799           69614100        0.192000        34762567        34762567
119     0.286000        11899           70799050        0.204000        35346908        35346908
120     0.371000        11999           71994000        0.444000        36002823        36002823
121     0.472000        12099           73198950        0.224000        36592404        36592404
122     0.412000        12199           74413900        0.260000        37166746        37166746
123     0.383000        12299           75638850        0.248000        37731402        37731402
124     0.401000        12399           76873800        0.234000        38326135        38326135
125     0.386000        12499           78118750        0.241000        38921009        38921009
126     0.403000        12599           79373700        0.249000        39620306        39620306
127     0.403000        12699           80638650        0.258000        40247587        40247587
128     0.438000        12799           81913600        0.253000        40912998        40912998
129     0.417000        12899           83198550        0.268000        41548136        41548136
130     0.555000        12999           84493500        0.334000        42220294        42220294
131     0.460000        13099           85798450        0.268000        42863359        42863359
132     0.456000        13199           87113400        0.357000        43449394        43449394
133     0.483000        13299           88438350        0.254000        44088208        44088208
134     0.414000        13399           89773300        0.233000        44726969        44726969
135     0.370000        13499           91118250        0.226000        45396811        45396811
136     0.379000        13599           92473200        0.220000        46100234        46100234
137     0.773000        13699           93838150        0.334000        46757993        46757993
138     0.383000        13799           95213100        0.270000        47432441        47432441
139     0.551000        13899           96598050        0.239000        48127723        48127723
140     0.407000        13999           97993000        0.247000        48841897        48841897
141     0.444000        14099           99397950        0.365000        49538212        49538212
142     0.435000        14199           100812900       0.251000        50253145        50253145
143     0.485000        14299           102237850       0.298000        50963565        50963565
144     0.409000        14399           103672800       0.272000        51724797        51724797
145     0.465000        14499           105117750       0.243000        52442676        52442676
146     0.429000        14599           106572700       0.339000        53068592        53068592
147     0.639000        14699           108037650       0.529000        53746382        53746382
148     0.713000        14799           109512600       0.563000        54447448        54447448
149     0.586000        14899           110997550       0.417000        55262973        55262973
150     0.528000        14999           112492500       0.344000        55969360        55969360
151     0.571000        15099           113997450       0.318000        56637799        56637799
152     0.600000        15199           115512400       0.385000        57390876        57390876
153     0.515000        15299           117037350       0.301000        58253072        58253072
154     0.510000        15399           118572300       0.314000        59097673        59097673
155     0.469000        15499           120117250       0.419000        59877258        59877258
156     0.520000        15599           121672200       0.373000        60646050        60646050
157     0.570000        15699           123237150       0.375000        61424310        61424310
158     0.541000        15799           124812100       0.325000        62167997        62167997
159     0.657000        15899           126397050       0.374000        62988027        62988027
160     0.519000        15999           127992000       0.409000        63786354        63786354
161     0.543000        16099           129596950       0.331000        64625301        64625301
