Block   Selection_sort  Insertion_sort
1       0.000000        0.000000
2       0.000000        0.000000
3       0.011000        0.000000
4       0.001000        0.000000
5       0.001000        0.000000
6       0.001000        0.000000
7       0.001000        0.001000
8       0.002000        0.000000
9       0.002000        0.001000
10      0.002000        0.002000
11      0.003000        0.001000
12      0.003000        0.002000
13      0.003000        0.004000
14      0.005000        0.003000
15      0.006000        0.004000
16      0.006000        0.004000
17      0.006000        0.004000
18      0.006000        0.004000
19      0.008000        0.004000
20      0.010000        0.004000
21      0.011000        0.004000
22      0.011000        0.006000
23      0.012000        0.008000
24      0.014000        0.008000
25      0.014000        0.009000
26      0.015000        0.009000
27      0.015000        0.010000
28      0.017000        0.009000
29      0.018000        0.010000
30      0.020000        0.012000
31      0.021000        0.012000
32      0.023000        0.011000
33      0.024000        0.013000
34      0.027000        0.017000
35      0.027000        0.014000
36      0.030000        0.016000
37      0.030000        0.017000
38      0.031000        0.016000
39      0.032000        0.017000
40      0.035000        0.017000
41      0.035000        0.019000
42      0.037000        0.020000
43      0.041000        0.020000
44      0.044000        0.021000
45      0.044000        0.021000
46      0.045000        0.023000
47      0.047000        0.024000
48      0.048000        0.025000
49      0.050000        0.026000
50      0.052000        0.026000
51      0.055000        0.028000
52      0.056000        0.029000
53      0.059000        0.030000
54      0.059000        0.020000
55      0.063000        0.032000
56      0.066000        0.019000
57      0.068000        0.028000
58      0.071000        0.036000
59      0.076000        0.042000
60      0.078000        0.040000
61      0.081000        0.045000
62      0.088000        0.048000
63      0.090000        0.048000
64      0.090000        0.050000
65      0.092000        0.054000
66      0.087000        0.063000
67      0.098000        0.047000
68      0.094000        0.050000
69      0.095000        0.050000
70      0.196000        0.080000
71      0.106000        0.047000
72      0.094000        0.062000
73      0.103000        0.047000
74      0.110000        0.047000
75      0.109000        0.064000
76      0.142000        0.063000
77      0.116000        0.062000
78      0.110000        0.062000
79      0.125000        0.063000
80      0.125000        0.078000
81      0.124000        0.079000
82      0.125000        0.078000
83      0.125000        0.078000
84      0.141000        0.062000
85      0.140000        0.078000
86      0.141000        0.078000
87      0.140000        0.078000
88      0.156000        0.110000
89      0.172000        0.078000
90      0.156000        0.078000
91      0.157000        0.093000
92      0.156000        0.094000
93      0.171000        0.094000
94      0.187000        0.110000
95      0.171000        0.094000
96      0.187000        0.096000
97      0.187000        0.094000
98      0.187000        0.094000
99      0.188000        0.109000
100     0.188000        0.109000
101     0.203000        0.094000
102     0.203000        0.110000
103     0.204000        0.109000
104     0.203000        0.125000
105     0.218000        0.110000
106     0.219000        0.109000
107     0.219000        0.125000
108     0.218000        0.125000
109     0.234000        0.125000
110     0.234000        0.125000
111     0.235000        0.140000
112     0.250000        0.125000
113     0.250000        0.125000
114     0.250000        0.141000
115     0.250000        0.141000
116     0.265000        0.141000
117     0.265000        0.141000
118     0.266000        0.156000
119     0.281000        0.141000
120     0.275000        0.156000
121     0.281000        0.156000
122     0.296000        0.157000
123     0.297000        0.156000
124     0.313000        0.156000
125     0.313000        0.156000
126     0.313000        0.172000
127     0.313000        0.171000
128     0.313000        0.171000
129     0.328000        0.172000
130     0.329000        0.171000
131     0.328000        0.187000
132     0.344000        0.172000
133     0.343000        0.188000
134     0.343000        0.188000
135     0.360000        0.187000
136     0.360000        0.187000
137     0.359000        0.204000
138     0.375000        0.203000
139     0.375000        0.203000
140     0.391000        0.203000
141     0.390000        0.203000
142     0.391000        0.219000
143     0.406000        0.203000
144     0.406000        0.219000
145     0.406000        0.219000
146     0.422000        0.219000
147     0.422000        0.219000
148     0.437000        0.219000
149     0.437000        0.266000
150     0.456000        0.234000
151     0.453000        0.235000
152     0.453000        0.235000
153     0.516000        0.312000
154     0.641000        0.312000
155     0.529000        0.281000
156     0.484000        0.312000
157     0.515000        0.250000
158     0.500000        0.265000
159     0.500000        0.266000
160     0.500000        0.265000
161     0.531000        0.269000
162     0.516000        0.281000
163     0.515000        0.281000
164     0.531000        0.281000
165     0.531000        0.281000
166     0.547000        0.281000
167     0.547000        0.296000
168     0.562000        0.297000
169     0.578000        0.296000
170     0.578000        0.328000
171     0.578000        0.297000
172     0.578000        0.312000
173     0.593000        0.313000
174     0.594000        0.312000
175     0.594000        0.328000
176     0.609000        0.328000
177     0.610000        0.328000
178     0.625000        0.328000
179     0.625000        0.344000
180     0.641000        0.328000
181     0.641000        0.343000
182     0.656000        0.344000
183     0.656000        0.359000
184     0.672000        0.343000
185     0.672000        0.359000
186     0.687000        0.359000
187     0.719000        0.359000
188     0.703000        0.359000
189     0.711000        0.359000
190     0.703000        0.390000
191     0.719000        0.375000
192     0.718000        0.407000
193     0.734000        0.385000
194     0.750000        0.391000
195     0.750000        0.391000
196     0.750000        0.406000
197     0.766000        0.406000
198     0.796000        0.407000
199     0.781000        0.422000
200     0.781000        0.422000
201     0.797000        0.422000
202     0.859000        0.593000
203     0.969000        0.594000
204     0.843000        0.438000
205     0.859000        0.469000
206     0.859000        0.453000
207     0.843000        0.469000
208     0.860000        0.437000
209     0.859000        0.453000
210     0.874000        0.453000
211     0.875000        0.468000
212     0.890000        0.469000
213     0.890000        0.469000
214     0.906000        0.469000
215     0.906000        0.484000
216     0.922000        0.484000
217     0.953000        0.500000
218     0.938000        0.515000
219     0.969000        0.500000
220     0.968000        0.516000
221     0.968000        0.500000
222     0.968000        0.516000
223     0.984000        0.516000
224     0.984000        0.515000
225     1.000000        0.531000
226     1.015000        0.516000
227     1.016000        0.531000
228     1.031000        0.531000
229     1.031000        0.546000
230     1.047000        0.547000
231     1.078000        0.546000
232     1.062000        0.562000
233     1.063000        0.562000
234     1.078000        0.563000
235     1.093000        0.562000
236     1.094000        0.578000
237     1.109000        0.578000
238     1.124000        0.578000
239     1.140000        0.610000
240     1.141000        0.593000
241     1.140000        0.610000
242     1.156000        0.609000
243     1.172000        0.609000
244     1.172000        0.656000
245     1.188000        0.624000
246     1.187000        0.625000
247     1.202000        0.625000
248     1.218000        0.641000
249     1.219000        0.640000
