Block   Quick_sort      Merge_sort
1       0.000000        0.000000
2       0.000000        0.000000
3       0.000000        0.001000
4       0.000000        0.000000
5       0.000000        0.000000
6       0.000000        0.000000
7       0.001000        0.000000
8       0.000000        0.001000
9       0.000000        0.001000
10      0.000000        0.001000
11      0.000000        0.000000
12      0.000000        0.000000
13      0.001000        0.000000
14      0.000000        0.000000
15      0.001000        0.000000
16      0.000000        0.001000
17      0.000000        0.000000
18      0.000000        0.001000
19      0.000000        0.000000
20      0.000000        0.001000
21      0.000000        0.000000
22      0.000000        0.001000
23      0.001000        0.000000
24      0.001000        0.000000
25      0.001000        0.000000
26      0.000000        0.001000
27      0.001000        0.000000
28      0.000000        0.001000
29      0.000000        0.001000
30      0.001000        0.001000
31      0.000000        0.001000
32      0.000000        0.001000
33      0.000000        0.001000
34      0.001000        0.001000
35      0.000000        0.001000
36      0.000000        0.001000
37      0.000000        0.001000
38      0.001000        0.001000
39      0.000000        0.001000
40      0.001000        0.001000
41      0.001000        0.001000
42      0.001000        0.002000
43      0.000000        0.001000
44      0.001000        0.001000
45      0.001000        0.001000
46      0.001000        0.001000
47      0.001000        0.001000
48      0.001000        0.001000
49      0.001000        0.001000
50      0.001000        0.002000
51      0.001000        0.001000
52      0.001000        0.002000
53      0.001000        0.001000
54      0.001000        0.001000
55      0.001000        0.001000
56      0.001000        0.001000
57      0.001000        0.001000
58      0.001000        0.001000
59      0.001000        0.002000
60      0.001000        0.001000
61      0.001000        0.002000
62      0.001000        0.002000
63      0.001000        0.002000
64      0.001000        0.002000
65      0.001000        0.002000
66      0.001000        0.002000
67      0.001000        0.002000
68      0.001000        0.003000
69      0.002000        0.002000
70      0.001000        0.002000
71      0.001000        0.004000
72      0.001000        0.003000
73      0.001000        0.002000
74      0.002000        0.002000
75      0.001000        0.002000
76      0.002000        0.002000
77      0.003000        0.002000
78      0.001000        0.002000
79      0.002000        0.002000
80      0.002000        0.002000
81      0.001000        0.002000
82      0.002000        0.003000
83      0.002000        0.002000
84      0.002000        0.002000
85      0.001000        0.003000
86      0.001000        0.003000
87      0.002000        0.002000
88      0.002000        0.003000
89      0.001000        0.002000
90      0.002000        0.002000
91      0.003000        0.003000
92      0.002000        0.002000
93      0.001000        0.003000
94      0.002000        0.002000
95      0.004000        0.002000
96      0.001000        0.003000
97      0.002000        0.002000
98      0.002000        0.003000
99      0.002000        0.003000
100     0.002000        0.004000
101     0.002000        0.003000
102     0.002000        0.003000
103     0.003000        0.003000
104     0.002000        0.004000
105     0.002000        0.003000
106     0.002000        0.003000
107     0.003000        0.003000
108     0.002000        0.005000
109     0.002000        0.005000
110     0.002000        0.006000
111     0.002000        0.008000
112     0.003000        0.003000
113     0.003000        0.003000
114     0.002000        0.003000
115     0.002000        0.003000
116     0.002000        0.003000
117     0.003000        0.003000
118     0.003000        0.003000
119     0.003000        0.003000
120     0.003000        0.003000
121     0.003000        0.004000
122     0.003000        0.003000
123     0.002000        0.004000
124     0.003000        0.004000
125     0.003000        0.004000
126     0.003000        0.004000
127     0.003000        0.004000
128     0.002000        0.003000
129     0.002000        0.004000
130     0.002000        0.004000
131     0.003000        0.003000
132     0.003000        0.003000
133     0.002000        0.003000
134     0.003000        0.003000
135     0.002000        0.004000
136     0.003000        0.004000
137     0.002000        0.005000
138     0.003000        0.004000
139     0.002000        0.005000
140     0.003000        0.005000
141     0.003000        0.005000
142     0.003000        0.005000
143     0.003000        0.006000
144     0.004000        0.004000
145     0.004000        0.005000
146     0.003000        0.004000
147     0.004000        0.004000
148     0.003000        0.003000
149     0.003000        0.004000
150     0.003000        0.004000
151     0.003000        0.003000
152     0.003000        0.004000
153     0.003000        0.004000
154     0.003000        0.004000
155     0.003000        0.005000
156     0.003000        0.005000
157     0.005000        0.004000
158     0.004000        0.005000
159     0.004000        0.004000
160     0.003000        0.004000
161     0.004000        0.005000
162     0.004000        0.005000
163     0.004000        0.004000
164     0.003000        0.004000
165     0.003000        0.004000
166     0.003000        0.005000
167     0.003000        0.006000
168     0.004000        0.005000
169     0.004000        0.004000
170     0.003000        0.004000
171     0.003000        0.006000
172     0.004000        0.005000
173     0.003000        0.005000
174     0.003000        0.006000
175     0.005000        0.005000
176     0.003000        0.004000
177     0.003000        0.005000
178     0.004000        0.006000
179     0.004000        0.005000
180     0.004000        0.005000
181     0.003000        0.005000
182     0.004000        0.006000
183     0.004000        0.005000
184     0.003000        0.005000
185     0.004000        0.006000
186     0.004000        0.004000
187     0.004000        0.006000
188     0.005000        0.006000
189     0.004000        0.004000
190     0.004000        0.006000
191     0.004000        0.006000
192     0.004000        0.005000
193     0.004000        0.006000
194     0.004000        0.005000
195     0.004000        0.006000
196     0.005000        0.005000
197     0.004000        0.005000
198     0.004000        0.007000
199     0.005000        0.005000
200     0.004000        0.005000
201     0.006000        0.005000
202     0.004000        0.006000
203     0.005000        0.006000
204     0.004000        0.005000
205     0.005000        0.006000
206     0.004000        0.005000
207     0.005000        0.005000
208     0.004000        0.005000
209     0.004000        0.007000
210     0.004000        0.006000
211     0.005000        0.007000
212     0.004000        0.005000
213     0.005000        0.006000
214     0.004000        0.006000
215     0.005000        0.006000
216     0.004000        0.007000
217     0.004000        0.006000
218     0.004000        0.006000
219     0.004000        0.006000
220     0.005000        0.007000
221     0.004000        0.006000
222     0.005000        0.007000
223     0.005000        0.006000
224     0.006000        0.006000
225     0.005000        0.007000
226     0.005000        0.006000
227     0.005000        0.006000
228     0.005000        0.007000
229     0.004000        0.006000
230     0.005000        0.007000
231     0.004000        0.007000
232     0.005000        0.006000
233     0.006000        0.006000
234     0.005000        0.007000
235     0.005000        0.006000
236     0.006000        0.007000
237     0.005000        0.008000
238     0.005000        0.007000
239     0.006000        0.007000
240     0.005000        0.008000
241     0.004000        0.008000
242     0.006000        0.006000
243     0.006000        0.007000
244     0.005000        0.008000
245     0.004000        0.007000
246     0.005000        0.007000
247     0.004000        0.007000
248     0.005000        0.008000
249     0.005000        0.009000
