Block   QS_time         QS_swaps        QS_compares     MS_time         MS_swaps        MS_compares

1       0.000000        351             710             0.000000        672             548     
2       0.000000        1010            1703            0.000000        1544            1285
3       0.000000        1341            2441            0.000000        2488            2099
4       0.000000        2091            3760            0.000000        3488            2961
5       0.000000        2495            5046            0.000000        4488            3875
6       0.000000        3398            6272            0.000000        5576            4784
7       0.000000        3766            6639            0.000000        6676            5766
8       0.000000        4706            7901            0.001000        7776            6694
9       0.000000        4496            9505            0.001000        8876            7701
10      0.000000        6036            10886           0.000000        9976            8719
11      0.001000        6711            13077           0.000000        11152           9730    
12      0.000000        7446            13288           0.000000        12352           10750
13      0.000000        7814            14526           0.000000        13552           11803
14      0.000000        8380            15418           0.000000        14752           12911   
15      0.000000        10573           18636           0.000000        15952           13968
16      0.001000        9536            20550           0.000000        17152           15017
17      0.000000        12508           20378           0.000000        18352           16125
18      0.000000        10479           20885           0.003000        19552           17218   
19      0.001000        11756           22898           0.000000        20752           18298
20      0.000000        11224           23937           0.000000        21952           19452
21      0.001000        15096           25126           0.000000        23204           20515   
22      0.001000        16545           29550           0.002000        24504           21653
23      0.001000        16866           31900           0.001000        25804           22792   
24      0.001000        16867           29914           0.001000        27104           23906
25      0.000000        20593           33395           0.000000        28404           25082   
26      0.000000        19895           33361           0.000000        29704           26231
27      0.001000        19714           34342           0.000000        31004           27411
28      0.001000        18904           36729           0.001000        32304           28623   
29      0.002000        23838           39419           0.000000        33604           29716
30      0.001000        21801           38237           0.001000        34904           30885
31      0.000000        23397           40294           0.000000        36204           32015   
32      0.000000        23032           44925           0.000000        37504           33230
33      0.000000        23781           43338           0.002000        38804           34405   
34      0.000000        23571           43594           0.007000        40104           35632
35      0.000000        29435           52092           0.000000        41404           36874   
36      0.000000        28784           47871           0.001000        42704           37976
37      0.000000        28205           52070           0.000000        44004           39167   
38      0.000000        26490           47899           0.000000        45304           40384   
39      0.000000        24666           54708           0.009000        46604           41577   
40      0.000000        28832           53720           0.000000        47904           42816
41      0.001000        31292           60033           0.001000        49208           43963   
42      0.001000        34250           58276           0.002000        50608           45241
43      0.000000        31443           58393           0.000000        52008           46443   
44      0.000000        32604           59459           0.000000        53408           47710   
45      0.000000        38577           66580           0.000000        54808           48893
46      0.000000        31837           65627           0.000000        56208           50142   
47      0.001000        38618           65558           0.000000        57608           51380
48      0.000000        36416           65303           0.000000        59008           52638   
49      0.000000        36820           72345           0.000000        60408           53914   
50      0.000000        38117           68265           0.008000        61808           55186   
51      0.002000        44370           74022           0.002000        63208           56439   
52      0.000000        49713           82343           0.000000        64608           57672
53      0.001000        40616           74956           0.000000        66008           58966   
54      0.000000        47516           80394           0.000000        67408           60240
55      0.002000        38388           77139           0.002000        68808           61485   
56      0.000000        41853           76443           0.000000        70208           62835
57      0.001000        42609           84459           0.002000        71608           64056   
58      0.000000        41888           80926           0.000000        73008           65270
59      0.006000        49557           87993           0.002000        74408           66552   
60      0.000000        53688           97455           0.000000        75808           67779   
61      0.001000        42170           86807           0.000000        77208           69048   
62      0.000000        50516           89748           0.000000        78608           70292
63      0.000000        49017           96019           0.000000        80008           71607   
64      0.000000        52324           95073           0.008000        81408           72927   
65      0.000000        47032           89317           0.000000        82808           74134
66      0.002000        49323           91130           0.002000        84208           75507   
67      0.000000        58567           100794          0.000000        85608           76738
68      0.001000        62534           110966          0.001000        87008           78164   
69      0.000000        57675           102333          0.000000        88408           79326   
70      0.000000        52426           100470          0.000000        89808           80724
71      0.000000        59393           108290          0.006000        91208           81943   
72      0.002000        53672           110267          0.001000        92608           83243   
73      0.002000        59234           106156          0.002000        94008           84522   
74      0.000000        64038           113893          0.000000        95408           85829
75      0.001000        58155           106232          0.000000        96808           87159   
76      0.002000        61199           121929          0.002000        98208           88402   
77      0.000000        68017           113614          0.000000        99608           89702   
78      0.001000        59483           113231          0.001000        101008          91034   
79      0.003000        62586           118848          0.003000        102408          92306   
80      0.000000        66251           122904          0.000000        103808          93641   
81      0.000000        67521           126013          0.000000        105208          94937
82      0.005000        65461           114944          0.004000        106616          96228   
83      0.000000        67266           128586          0.000000        108116          97581
84      0.002000        80357           133138          0.000000        109616          98899   
85      0.006000        61056           126387          0.003000        111116          100247  
86      0.000000        71481           129343          0.000000        112616          101501  
87      0.000000        81799           151384          0.000000        114116          102940  
88      0.001000        73172           128117          0.002000        115616          104280  
89      0.000000        72712           138419          0.008000        117116          105631  
90      0.000000        72642           140957          0.000000        118616          106901
91      0.000000        75444           142308          0.000000        120116          108283  
92      0.003000        73959           135145          0.001000        121616          109615  
93      0.000000        86166           147746          0.006000        123116          110909  
94      0.000000        79228           143793          0.007000        124616          112295  
95      0.003000        75965           140677          0.000000        126116          113687  
96      0.002000        74848           141963          0.002000        127616          114985  
97      0.000000        77628           153653          0.009000        129116          116323  
98      0.000000        85688           158605          0.000000        130616          117697  
99      0.000000        86001           150856          0.000000        132116          119146
100     0.001000        77839           149433          0.000000        133616          120405  
101     0.006000        78323           150879          0.004000        135116          121828  
102     0.000000        96691           164205          0.010000        136616          123134  
103     0.000000        92194           170124          0.009000        138116          124474  
104     0.000000        98563           173822          0.000000        139616          125794
105     0.002000        87010           155159          0.001000        141116          127250  
106     0.008000        85126           167649          0.002000        142616          128584  
107     0.000000        93117           168640          0.011000        144116          129874  
108     0.000000        81562           166593          0.010000        145616          131298  
109     0.000000        102915          172738          0.000000        147116          132589
110     0.000000        96435           168831          0.000000        148616          134037  
111     0.002000        97144           171743          0.000000        150116          135339  
112     0.000000        91180           168939          0.000000        151616          136802  
113     0.002000        87689           175764          0.000000        153116          138101  
114     0.002000        92317           179424          0.000000        154616          139516  
115     0.004000        100651          180276          0.002000        156116          140815  
116     0.002000        113340          198815          0.005000        157616          142265  
117     0.000000        102422          179902          0.012000        159116          143437  
118     0.000000        99726           185356          0.011000        160616          144964  
119     0.000000        101560          182710          0.011000        162116          146197  
120     0.000000        96301           195030          0.010000        163616          147655  
121     0.000000        111564          199552          0.000000        165116          149054  
122     0.000000        107855          201095          0.009000        166616          150420  
123     0.001000        98230           187524          0.000000        168116          151728  
124     0.001000        114878          214827          0.000000        169616          153069  
125     0.000000        105665          199997          0.000000        171116          154575  
126     0.002000        98229           204935          0.000000        172616          155909  
127     0.000000        117560          204513          0.000000        174116          157237  
128     0.000000        101362          201185          0.000000        175616          158672  
129     0.000000        108046          198598          0.000000        177116          160024  
130     0.000000        105989          204611          0.000000        178616          161379  
131     0.000000        118152          214320          0.000000        180116          162809  
132     0.002000        105540          202763          0.000000        181616          164200  
133     0.000000        112112          216793          0.000000        183116          165558  
134     0.000000        119322          208152          0.000000        184616          166937  
135     0.002000        104028          218998          0.004000        186116          168341  
136     0.000000        110184          208537          0.011000        187616          169899  
137     0.000000        124843          226962          0.013000        189116          171076  
138     0.000000        132924          245950          0.012000        190616          172453  
139     0.000000        112967          212275          0.012000        192116          173856  
140     0.009000        107710          235501          0.005000        193616          175374  
141     0.009000        121426          221439          0.004000        195116          176663  
142     0.008000        126902          223362          0.002000        196616          178057
143     0.010000        121079          225908          0.004000        198116          179537  
144     0.010000        124035          237794          0.001000        199616          180836  
145     0.004000        120164          222453          0.000000        201116          182249  
146     0.004000        127676          232021          0.001000        202616          183691  
147     0.000000        128988          236012          0.000000        204116          185064  
148     0.000000        115631          255911          0.008000        205616          186428  
149     0.000000        118930          238082          0.010000        207116          187876  
150     0.009000        139906          252047          0.007000        208616          189283  
151     0.010000        128380          244681          0.004000        210116          190621  
152     0.003000        149316          264942          0.006000        211616          192049  
153     0.003000        154358          261771          0.004000        213116          193444  
154     0.000000        120564          248939          0.008000        214616          194872  
155     0.000000        143548          261662          0.010000        216116          196147  
156     0.008000        132105          257272          0.005000        217616          197668  
157     0.012000        161344          285943          0.004000        219116          199004  
158     0.003000        141897          268109          0.001000        220616          200366  
159     0.000000        150614          266421          0.008000        222116          201830  
160     0.008000        135369          262136          0.007000        223616          203248  
161     0.011000        135677          272522          0.004000        225116          204636  
162     0.004000        145394          271333          0.002000        226616          206013  
163     0.002000        154812          271926          0.000000        228116          207262  
164     0.000000        142334          278219          0.013000        229632          208897  
165     0.008000        147146          272221          0.005000        231232          210237  
166     0.005000        141826          270324          0.005000        232832          211762  
167     0.004000        145382          280963          0.002000        234432          213018  
168     0.008000        144643          264123          0.006000        236032          214504  
169     0.012000        147614          293284          0.005000        237632          216028  
170     0.005000        170183          293245          0.001000        239232          217492  
171     0.000000        144300          280685          0.012000        240832          218892  
172     0.005000        148109          285248          0.001000        242432          220294  
173     0.003000        148898          284154          0.000000        244032          221772  
174     0.000000        159377          282103          0.010000        245632          223200  
175     0.009000        148175          290073          0.006000        247232          224689  
176     0.004000        147291          303020          0.001000        248832          226153  
177     0.000000        156905          300863          0.015000        250432          227545  
178     0.010000        145868          279363          0.005000        252032          228911  
179     0.003000        163543          291753          0.005000        253632          230400  
180     0.000000        160692          303680          0.013000        255232          231825  
181     0.005000        152042          290992          0.001000        256832          233155  
182     0.000000        174281          307738          0.011000        258432          234705  
183     0.004000        157550          293881          0.005000        260032          236110  
184     0.004000        162955          300736          0.007000        261632          237618  
185     0.004000        160840          320049          0.005000        263232          239089  
186     0.006000        154763          302895          0.004000        264832          240478  
187     0.001000        158864          312113          0.010000        266432          242016  
188     0.004000        153161          328848          0.004000        268032          243448  
189     0.001000        192741          354668          0.009000        269632          244802  
190     0.005000        161875          326134          0.005000        271232          246315  
191     0.001000        173422          330808          0.010000        272832          247763  
192     0.011000        158869          312589          0.007000        274432          249141  
193     0.002000        170721          328631          0.009000        276032          250670  
194     0.007000        182162          329280          0.000000        277632          252079  
195     0.000000        173216          337653          0.011000        279232          253600  
196     0.011000        172229          327401          0.006000        280832          254951  
197     0.001000        180834          314397          0.009000        282432          256458  
198     0.008000        165290          333665          0.000000        284032          258019  
199     0.000000        182167          326368          0.010000        285632          259407  
200     0.006000        173962          340182          0.006000        287232          260884  
201     0.000000        186861          331015          0.013000        288832          262299  
202     0.005000        166542          340657          0.000000        290432          263733  
203     0.008000        182345          348039          0.007000        292032          265163  
204     0.001000        177213          329087          0.009000        293632          266632  
205     0.005000        198744          356174          0.003000        295232          268182  
206     0.000000        183545          343496          0.012000        296832          269563  
207     0.005000        185217          343008          0.001000        298432          270871  
208     0.011000        197432          362946          0.007000        300032          272367  
209     0.002000        184847          339668          0.009000        301632          273889  
210     0.007000        198502          358139          0.004000        303232          275437  
211     0.000000        191404          334985          0.012000        304832          276900  
212     0.006000        197035          364319          0.002000        306432          278369  
213     0.000000        191511          359768          0.014000        308032          279715  
214     0.002000        205988          374147          0.009000        309632          281173  
215     0.006000        216379          370985          0.004000        311232          282731  
216     0.006000        177638          372581          0.007000        312832          284066  
217     0.004000        187457          369459          0.005000        314432          285646  
218     0.013000        191071          362853          0.002000        316032          286992  
219     0.007000        214951          393507          0.005000        317632          288497  
220     0.002000        203420          368759          0.009000        319232          290076  
221     0.005000        179521          363619          0.003000        320832          291391  
222     0.000000        194962          370859          0.015000        322432          292933  
223     0.003000        197689          364163          0.008000        324032          294291  
224     0.006000        198533          369945          0.001000        325632          295931  
225     0.009000        213955          388413          0.005000        327232          297327  
226     0.000000        203486          377921          0.014000        328832          298803  
227     0.005000        196261          374126          0.000000        330432          300165  
228     0.013000        203059          368945          0.007000        332032          301812  
229     0.000000        213071          392185          0.012000        333632          302940  
230     0.005000        204395          374165          0.000000        335232          304648  
231     0.012000        217888          399823          0.008000        336832          305975  
232     0.000000        225833          407775          0.015000        338432          307576  
233     0.002000        215261          395895          0.011000        340032          308928  
234     0.005000        221967          403404          0.006000        341632          310291  
235     0.005000        205723          385711          0.001000        343232          311965  
236     0.006000        201324          382435          0.003000        344832          313499  
237     0.000000        225764          432728          0.014000        346432          314833  
238     0.000000        212459          400357          0.013000        348032          316307  
239     0.001000        222171          400394          0.012000        349632          317748  
240     0.007000        208570          398905          0.001000        351232          319280  
241     0.007000        256521          433694          0.002000        352832          320686  
242     0.008000        199032          410227          0.008000        354432          322285  
243     0.000000        224298          414019          0.012000        356032          323731  
244     0.000000        241887          453028          0.014000        357632          325188  
245     0.004000        238504          427962          0.009000        359232          326717  
246     0.007000        243613          429241          0.001000        360832          328057  
247     0.013000        217701          410209          0.001000        362432          329400  
248     0.009000        215543          440265          0.003000        364032          330970  
249     0.000000        224548          425297          0.014000        365632          332584  
250     0.002000        223821          414718          0.011000        367232          334216  
251     0.003000        220920          425881          0.010000        368832          335450  
252     0.007000        228669          418651          0.000000        370432          336985  
253     0.009000        233674          465772          0.002000        372032          338739  
254     0.012000        219347          433490          0.005000        373632          339878  
255     0.007000        208437          430250          0.005000        375232          341475  
256     0.012000        228378          434225          0.002000        376832          342966  
257     0.012000        248798          440726          0.008000        378432          344416  
258     0.011000        235445          457506          0.003000        380032          345897  
259     0.013000        246792          460756          0.006000        381632          347453  
260     0.008000        237625          448936          0.006000        383232          348928  
261     0.000000        252482          459690          0.015000        384832          350375  
262     0.000000        216905          443345          0.016000        386432          351891  
263     0.010000        233135          503020          0.009000        388032          353418  
264     0.009000        259912          472250          0.008000        389632          354857  
265     0.008000        226390          442928          0.008000        391232          356304  
266     0.006000        269342          476504          0.011000        392832          357850  
267     0.005000        229408          447197          0.009000        394432          359291  
268     0.006000        239872          469784          0.008000        396032          360723  
269     0.006000        244891          447285          0.008000        397632          362370  
270     0.006000        266232          464247          0.008000        399232          363816  
271     0.003000        266711          489427          0.010000        400832          365222  
272     0.006000        244333          472196          0.008000        402432          366943  
273     0.004000        267925          481065          0.011000        404032          368195  
274     0.004000        270481          516738          0.010000        405632          369725  
